_id,user_name,user_be_agreed,user_be_thanked,user_followees,user_followers,user_education_school,user_education_subject,user_employment,user_employment_extra,user_location,user_gender,user_info,user_intro
ObjectId(57cbfbfb5b5ef0203aeeb8a4),莫名,60,13,168,18,武汉大学,软件工程,,,武汉,male,,"



"
ObjectId(57cc0dd35b5ef029ea0a06ca),Mingo鸣哥,75840,19228,1158,50745,香港中文大学 (Chinese University of Hong Kong),新媒体,记者,,香港,female,,"

记者/摄影师/旅行杂志撰稿人，香港中文大学新媒体MSc。微信公众号：隐于野。三万年更新一篇。本人已委托“维权骑士”（"
ObjectId(57cc0e365b5ef02a1e39caa9),莫名,60,13,168,18,武汉大学,软件工程,,,武汉,male,,"



"
ObjectId(57cc0e575b5ef02a3096758d),莫名,60,13,168,18,武汉大学,软件工程,,,武汉,male,,"



"
ObjectId(57cc10d15b5ef02b7627fe64),莫名,60,13,168,18,武汉大学,软件工程,,,武汉,male,,"



"
ObjectId(57cc10d65b5ef02b86cd6ea0),莫名,60,13,168,18,武汉大学,软件工程,,,武汉,male,,"



"
ObjectId(57cc13b65b5ef00ae3655ccd),莫名,60,13,168,18,武汉大学,软件工程,,,武汉,male,,"



"
ObjectId(57cc13ce5b5ef00b06d4da28),莫名,60,13,168,18,武汉大学,软件工程,,,武汉,male,,"



"
ObjectId(57cc13e45b5ef00b20d264a7),莫名,60,13,168,18,武汉大学,软件工程,,,武汉,male,,"



"
ObjectId(57cc15a85b5ef00bd215bb7a),莫名,60,13,168,18,武汉大学,软件工程,,,武汉,male,,"



"
ObjectId(57cc15aa5b5ef00bd215bb7b),邵成,594,0,617,7603,,,,,NULL,male,,
ObjectId(57cc15ac5b5ef00bd215bb7c),三国,109,19,0,875,,,,,,male,,
ObjectId(57cc15ae5b5ef00bd215bb7d),杨博,4542,990,113,3663,西南政法大学,法学,ThoughtWorks,Lead Consultant,北京,male,,"

Github: "
ObjectId(57cc15b15b5ef00bd215bb7e),宝宝烤辣子,0,0,53,16,,,,,,female,,
ObjectId(57cc15b35b5ef00bd215bb7f),滕腾,418520,70214,634,179822,,,好奇实验室,编导,杭州,male,,"

忽然有一天，我不想认真地写回答了。（"
ObjectId(57cc15b55b5ef00bd215bb80),韩叙,5448,1537,93,5797,,,,,北京,male,,
ObjectId(57cc15b75b5ef00bd215bb81),李研珠,24,8,7,567,,,,,,male,,
